name,artist,album,popularity,time_range
Sidelines,Wallows,Nothing Happens,48,short_term
Only Friend,Wallows,Nothing Happens,51,short_term
Bad Luck,Wilderado,Talker,41,short_term
Tulipalo,KUUMAA,Hyvikset ja pahikset,52,short_term
Treacherous Doctor,Wallows,Nothing Happens,50,short_term
Bad Dream,Wallows,Model,56,short_term
Stick Season,Noah Kahan,Stick Season,87,short_term
The Winner Takes It All,The Crystal Casino Band,The Winner Takes It All,17,short_term
Your Apartment,Wallows,Your Apartment,51,short_term
Who Says We're Through,The Band CAMINO,Heaven,35,short_term
Äijä,KUUMAA,Hyvikset ja pahikset,36,short_term
idk why the light's on,Akurei,idk why the light's on,20,short_term
Way It Goes,Hippo Campus,Landmark,55,short_term
Veneno en la Piel,Radio Futura,Veneno En La Piel,52,short_term
Help Me Down,Wilderado,Wilderado,39,short_term
Calling After Me,Wallows,Model,70,short_term
Take Some Time,Wilderado,Wilderado,51,short_term
blame (feat. Valley),The Maine,The Maine (deluxe),29,short_term
Fitness Account,90's Kids,Fitness Account,5,short_term
Why,Dominic Fike,What Could Possibly Go Wrong,69,short_term
Oo vielä sekunnin mun,KUUMAA,Hyvikset ja pahikset,50,short_term
Remember When,Wallows,Nothing Happens,69,short_term
Luotan tulevaan,KUUMAA,Pisara meressä,53,short_term
Tuhoaisti,KUUMAA,Pisara meressä,50,short_term
Goodmood,Nabes,Goodmood,36,short_term
Powder,Launder,Powder,24,short_term
3 Nights,Dominic Fike,"Don't Forget About Me, Demos",77,short_term
All We Ever Do Is Talk,Del Water Gap,All We Ever Do Is Talk,49,short_term
I'm Full,Wallows,Nothing Happens (5th Anniversary Edition),23,short_term
"Anytime, Always",Wallows,Model,53,short_term
this time last year,Nightly,this time last year,34,short_term
Disco Nights,Wiley Beckett,Disco Nights,40,short_term
Moss,Sumbuck,Lucky,54,short_term
Crème Brûlée,Sitting on Stacy,Looking Past Red Flags,29,short_term
Rearview,Run River North,Rearview,37,short_term
Sunroof,courtship.,Denial in Paradise,41,short_term
Bells (with Wilderado),HAFFWAY,Lady Lou & All Her Friends,29,short_term
Anna mulle mitä vaan,KUUMAA,Hyvikset ja pahikset,49,short_term
SOS (feat. Aloe Blacc),Avicii,TIM,68,short_term
Pictures of Girls,Wallows,Spring EP,56,short_term
"Olof, kära Olof",Solen,Känslor säljer / Miljonär,31,short_term
Brazil,Declan McKenna,What Do You Think About the Car?,79,short_term
Rollercoaster,Bleachers,A Stranger Desired,45,short_term
Ihan kuin nuo toiset (Dom andra),Muovikukat,Ihan kuin nuo toiset,8,short_term
Something to Believe In,Young the Giant,Home of the Strange,52,short_term
Elephant,Tame Impala,Lonerism,69,short_term
July,HUNNY,Pain / Ache / Loving,38,short_term
Astronaut,Wilderado,Wilderado,33,short_term
Pleaser,Wallows,Pleaser,64,short_term
Acetone,Landon Conrath,Acetone,44,short_term
Calling After Me,Wallows,Model,70,medium_term
Sidelines,Wallows,Nothing Happens,48,medium_term
Tulipalo,KUUMAA,Hyvikset ja pahikset,52,medium_term
Liian lähel aurinkoo,Mouhous,Liian lähel aurinkoo,36,medium_term
Mrs. Hollywood,Go-Jo,Mrs. Hollywood,31,medium_term
Norjalaista puuta,Jaakko Kulta,Norjalaista puuta,54,medium_term
Satama,KUUMAA,Pisara meressä,55,medium_term
Häitä pidelly,Robin Packalen,Häitä pidelly,56,medium_term
Natthimlen,Victor Leksell,Tid & Tro,59,medium_term
Surefire,Wilderado,Wilderado,58,medium_term
2 / 14,The Band CAMINO,My Thoughts On You,53,medium_term
Pictures of Girls,Wallows,Spring EP,56,medium_term
Lasilinnut,Muovikukat,Fiilistely on loppu & Me vaietaan,5,medium_term
Sirkus,SHRTY,Sirkus,59,medium_term
Bad Luck,Wilderado,Talker,41,medium_term
Anna mulle mitä vaan,KUUMAA,Hyvikset ja pahikset,49,medium_term
Tuhoaisti,KUUMAA,Pisara meressä,50,medium_term
Bedrock,Wild Rivers,Sidelines,54,medium_term
Strawberry Sunscreen,Lostboycrow,Valleyheart,54,medium_term
Moss,Sumbuck,Lucky,54,medium_term
A Dios Le Pido,Juanes,Un Día Normal,73,medium_term
Don’t You Think It’s Strange?,Wallows,Model,51,medium_term
Glöm bort mig nu,Solen,Till dom som bryr sig,24,medium_term
She’s an Actress,Wallows,Model,47,medium_term
Veneno en la Piel,Radio Futura,Veneno En La Piel,52,medium_term
Sin documentos,Los Rodriguez,Sin Documentos,62,medium_term
Your Apartment,Wallows,Your Apartment,51,medium_term
Only Friend,Wallows,Nothing Happens,51,medium_term
can't slow down,almost monday,can't slow down,52,medium_term
Who Says We're Through,The Band CAMINO,Heaven,35,medium_term
The Middle,Zedd,The Middle,76,medium_term
